poste,diplome,specialite,ecole,promotion,experience_ans,selectionne,source
SI,MASTER,Système d'information,FSJES,2008,1,0,synthetique
CGM,MASTER,Gestion des entreprises,ENCG,2015,3,1,synthetique
ARCHIVISTE,LICENCE,Comptabilité,ISGA,2009,2,0,synthetique
SI,MASTER,Intelligence artificielle,EST,2023,8,1,synthetique
CGM,MASTER,Finances contrôle et audit,ISGA,2006,11,1,synthetique
ARCHIVISTE,TECHNICIEN,Documentation,FEDE,2021,1,0,synthetique
CGM,MASTER,Droit des affaires,MIAGE,2006,9,0,synthetique
ARCHIVISTE,LICENCE,Commerce,FEDE,2016,7,0,synthetique
SI,MASTER,Intelligence artificielle,EKTEC,2021,6,1,synthetique
CGM,MASTER,Droit des affaires,UMR,2019,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,FSJES,2021,14,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,USM,2005,9,0,synthetique
SI,TECHNICIEN SPECIALISE,Système d'information,ENCG,2009,2,1,synthetique
SI,MASTER,Système d'information,ENCG,2013,3,1,synthetique
CGM,DOCTORAT,Marketing,ISTA,2024,5,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,EST,2022,10,1,synthetique
CGM,LICENCE,Audit,ISTA,2010,13,0,synthetique
ARCHIVISTE,LICENCE,Management touristique,EKTEC,2018,6,0,synthetique
SI,MASTER,Base de données,FSJES,2008,11,0,synthetique
ARCHIVISTE,MASTER,Documentation,USMBA,2009,8,1,synthetique
ARCHIVISTE,LICENCE,Management touristique,EKTEC,2022,5,0,synthetique
SI,LICENCE,Informatique,ISTA,2019,11,0,synthetique
ARCHIVISTE,LICENCE,Comptabilité,ENSA,2005,4,0,synthetique
SI,MASTER,Informatique,UMR,2022,9,1,synthetique
ARCHIVISTE,LICENCE,Commerce,ENCG,2020,1,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,ENCG,2011,5,0,synthetique
SI,MASTER,Développement web,EST,2019,5,1,synthetique
SI,MASTER,Réseaux et télécommunications,UMR,2018,3,1,synthetique
CGM,LICENCE,Droit des affaires,FEDE,2006,7,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,EST,2007,2,0,synthetique
ARCHIVISTE,MASTER,Documentation,USMBA,2023,13,1,synthetique
SI,TECHNICIEN SPECIALISE,Réseaux et télécommunications,EKTEC,2024,12,0,synthetique
SI,TECHNICIEN SPECIALISE,Base de données,USMBA,2008,7,0,synthetique
CGM,MASTER,Marketing,ENSA,2018,10,0,synthetique
SI,TECHNICIEN SPECIALISE,Intelligence artificielle,USM,2018,5,0,synthetique
CGM,MASTER,Marketing,USMBA,2021,13,0,synthetique
ARCHIVISTE,LICENCE,Réseaux Informatique,ENCG,2024,4,1,synthetique
SI,MASTER,Cybersécurité,ENCG,2013,3,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,EST,2024,12,1,synthetique
ARCHIVISTE,TECHNICIEN,Commerce,ISTA,2023,3,0,synthetique
ARCHIVISTE,LICENCE,Commerce,FEDE,2006,7,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,ISTA,2010,5,1,synthetique
SI,MASTER,Génie logiciel,ISTA,2017,0,1,synthetique
SI,MASTER,Réseaux et télécommunications,ISTA,2024,7,1,synthetique
CGM,MASTER,Management financier,MIAGE,2005,9,1,synthetique
SI,TECHNICIEN SPECIALISE,Informatique,USMBA,2014,10,1,synthetique
CGM,MASTER,Gestion des entreprises,FSJES,2011,12,0,synthetique
SI,MASTER,Réseaux et télécommunications,USMBA,2018,12,0,synthetique
CGM,MASTER,Marketing,ENSA,2011,11,0,synthetique
ARCHIVISTE,LICENCE,Management touristique,FSJES,2017,14,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,EST,2008,1,0,synthetique
CGM,MASTER,Comptabilité,USM,2016,9,1,synthetique
ARCHIVISTE,TECHNICIEN,Management touristique,FSJES,2023,10,0,synthetique
CGM,MASTER,Droit des affaires,ENCG,2011,11,0,synthetique
CGM,MASTER,Marketing,ISGA,2006,0,0,synthetique
CGM,MASTER,Finances contrôle et audit,ENCG,2019,9,1,synthetique
CGM,MASTER,Management financier,ISTA,2007,12,0,synthetique
SI,LICENCE,Base de données,EKTEC,2016,1,0,synthetique
SI,LICENCE,Développement web,ENSA,2020,9,0,synthetique
SI,LICENCE,Génie logiciel,EST,2011,1,0,synthetique
CGM,MASTER,Comptabilité,EST,2014,11,0,synthetique
ARCHIVISTE,TECHNICIEN,Développement informatique,ENCG,2009,7,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,USMBA,2022,4,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,ISGA,2008,9,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,ENSA,2009,9,1,synthetique
CGM,MASTER,Management financier,USM,2008,1,0,synthetique
ARCHIVISTE,TECHNICIEN,Réseaux Informatique,ISTA,2017,1,0,synthetique
CGM,LICENCE,Management financier,EST,2006,12,0,synthetique
SI,LICENCE,Réseaux et télécommunications,USMBA,2007,12,0,synthetique
SI,TECHNICIEN SPECIALISE,Génie logiciel,EST,2021,2,0,synthetique
CGM,MASTER,Gestion des entreprises,EST,2009,0,0,synthetique
CGM,MASTER,Marketing,FSJES,2006,10,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Documentation,USMBA,2021,7,0,synthetique
CGM,DOCTORAT,Finances contrôle et audit,ESISA,2020,11,1,synthetique
SI,MASTER,Génie logiciel,ENSA,2005,13,1,synthetique
SI,MASTER,Réseaux et télécommunications,USM,2023,1,0,synthetique
SI,MASTER,Réseaux et télécommunications,FSJES,2019,3,1,synthetique
SI,DOCTORAT,Intelligence artificielle,ISGA,2012,3,0,synthetique
SI,TECHNICIEN SPECIALISE,Réseaux et télécommunications,ENCG,2019,13,0,synthetique
CGM,MASTER,Marketing,ESISA,2015,2,0,synthetique
ARCHIVISTE,TECHNICIEN,Gestion des entreprises,EST,2007,7,0,synthetique
ARCHIVISTE,MASTER,Commerce,ISGA,2012,9,0,synthetique
SI,MASTER,Génie logiciel,MIAGE,2005,14,1,synthetique
CGM,DOCTORAT,Comptabilité,FEDE,2005,3,1,synthetique
SI,MASTER,Base de données,ENSA,2008,13,0,synthetique
SI,MASTER,Réseaux et télécommunications,ISTA,2018,11,0,synthetique
CGM,MASTER,Marketing,FEDE,2021,6,1,synthetique
ARCHIVISTE,LICENCE,Secrétariat,ENCG,2006,9,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,ENSA,2011,4,0,synthetique
SI,MASTER,Informatique,USMBA,2017,4,1,synthetique
CGM,LICENCE,Gestion des entreprises,MIAGE,2014,9,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ENSA,2018,3,0,synthetique
ARCHIVISTE,TECHNICIEN,Documentation,UMR,2016,6,0,synthetique
SI,MASTER,Système d'information,MIAGE,2015,8,1,synthetique
SI,MASTER,Cybersécurité,ENCG,2010,0,1,synthetique
SI,LICENCE,Intelligence artificielle,ENCG,2009,11,0,synthetique
SI,TECHNICIEN SPECIALISE,Réseaux et télécommunications,ENSA,2006,11,0,synthetique
ARCHIVISTE,LICENCE,Commerce,USM,2020,7,0,synthetique
CGM,LICENCE,Gestion des entreprises,ENCG,2015,12,0,synthetique
CGM,LICENCE,Finances contrôle et audit,FEDE,2013,4,1,synthetique
CGM,MASTER,Marketing,EST,2013,2,1,synthetique
SI,MASTER,Intelligence artificielle,EST,2016,8,1,synthetique
SI,LICENCE,Informatique,FEDE,2015,5,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Documentation,FSJES,2006,8,1,synthetique
ARCHIVISTE,LICENCE,Secrétariat,FSJES,2012,5,0,synthetique
ARCHIVISTE,TECHNICIEN,Réseaux Informatique,ENSA,2007,12,0,synthetique
CGM,MASTER,Droit des affaires,EST,2021,3,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,UMR,2010,0,0,synthetique
CGM,DOCTORAT,Comptabilité,EST,2005,3,1,synthetique
SI,LICENCE,Développement web,USMBA,2016,10,0,synthetique
SI,TECHNICIEN SPECIALISE,Système d'information,USMBA,2011,4,1,synthetique
CGM,MASTER,Comptabilité,FSJES,2016,10,1,synthetique
SI,LICENCE,Intelligence artificielle,USM,2005,6,0,synthetique
CGM,MASTER,Management financier,ENSA,2007,12,0,synthetique
CGM,MASTER,Gestion Financière et comptable,FSJES,2012,8,1,synthetique
SI,LICENCE,Intelligence artificielle,FEDE,2015,14,0,synthetique
CGM,MASTER,Gestion Financière et comptable,USM,2014,10,1,synthetique
CGM,DOCTORAT,Marketing,FSJES,2019,14,0,synthetique
CGM,MASTER,Droit des affaires,ISTA,2019,14,0,synthetique
CGM,LICENCE,Gestion Financière et comptable,ENCG,2024,8,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ENSA,2018,4,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,UMR,2018,9,0,synthetique
SI,MASTER,Cybersécurité,ISTA,2017,10,0,synthetique
CGM,DOCTORAT,Gestion Financière et comptable,MIAGE,2016,5,1,synthetique
SI,DOCTORAT,Informatique,USMBA,2009,8,1,synthetique
ARCHIVISTE,TECHNICIEN,Documentation,USMBA,2022,9,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ISGA,2012,12,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,ENSA,2005,10,0,synthetique
ARCHIVISTE,LICENCE,Secrétariat,FSJES,2009,9,0,synthetique
CGM,MASTER,Gestion des entreprises,FSJES,2014,11,0,synthetique
SI,MASTER,Réseaux et télécommunications,ENCG,2007,11,0,synthetique
CGM,DOCTORAT,Droit des affaires,EST,2006,2,1,synthetique
SI,MASTER,Génie logiciel,ENCG,2007,2,1,synthetique
CGM,MASTER,Finances contrôle et audit,EKTEC,2024,12,0,synthetique
CGM,MASTER,Audit,ISGA,2014,10,1,synthetique
SI,LICENCE,Cybersécurité,ENCG,2021,5,0,synthetique
CGM,LICENCE,Marketing,FSJES,2007,11,0,synthetique
ARCHIVISTE,LICENCE,Documentation,USM,2011,9,1,synthetique
SI,MASTER,Développement web,ISTA,2017,12,0,synthetique
CGM,MASTER,Droit des affaires,USMBA,2008,9,0,synthetique
SI,MASTER,Réseaux et télécommunications,MIAGE,2008,1,0,synthetique
CGM,LICENCE,Management financier,ISTA,2021,6,0,synthetique
CGM,MASTER,Finances contrôle et audit,ENCG,2010,4,1,synthetique
CGM,MASTER,Droit des affaires,ENCG,2024,2,1,synthetique
SI,LICENCE,Développement web,EST,2017,6,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,UMR,2023,13,1,synthetique
SI,TECHNICIEN SPECIALISE,Développement web,USMBA,2012,0,0,synthetique
SI,MASTER,Système d'information,FEDE,2006,14,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,FSJES,2024,14,1,synthetique
CGM,MASTER,Finances contrôle et audit,ISTA,2023,3,1,synthetique
ARCHIVISTE,TECHNICIEN,Documentation,ISTA,2005,14,1,synthetique
SI,MASTER,Cybersécurité,MIAGE,2021,1,0,synthetique
CGM,LICENCE,Audit,MIAGE,2021,11,0,synthetique
SI,MASTER,Intelligence artificielle,ISTA,2007,9,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,USMBA,2018,9,0,synthetique
CGM,MASTER,Comptabilité,ISTA,2023,5,1,synthetique
SI,MASTER,Cybersécurité,UMR,2010,7,1,synthetique
CGM,LICENCE,Management financier,EST,2015,9,0,synthetique
SI,MASTER,Base de données,FEDE,2009,7,1,synthetique
SI,MASTER,Développement web,FSJES,2020,6,1,synthetique
CGM,MASTER,Audit,EST,2021,5,1,synthetique
CGM,LICENCE,Audit,ENCG,2005,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,USMBA,2011,3,0,synthetique
CGM,LICENCE,Gestion des entreprises,ENCG,2023,5,0,synthetique
CGM,MASTER,Audit,ISGA,2006,5,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,UMR,2024,8,0,synthetique
SI,MASTER,Système d'information,ISTA,2007,1,0,synthetique
ARCHIVISTE,TECHNICIEN,Comptabilité,FSJES,2011,10,0,synthetique
SI,LICENCE,Développement web,ISTA,2006,5,0,synthetique
SI,MASTER,Réseaux et télécommunications,FEDE,2005,5,0,synthetique
ARCHIVISTE,LICENCE,Développement informatique,ENCG,2014,4,0,synthetique
SI,MASTER,Réseaux et télécommunications,USM,2008,1,0,synthetique
CGM,MASTER,Finances contrôle et audit,ISTA,2023,0,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Comptabilité,UMR,2010,5,0,synthetique
SI,MASTER,Informatique,ISTA,2019,3,1,synthetique
CGM,MASTER,Management financier,FSJES,2021,10,1,synthetique
CGM,MASTER,Gestion des entreprises,ENCG,2024,14,0,synthetique
SI,MASTER,Base de données,ENSA,2020,1,0,synthetique
SI,MASTER,Informatique,FEDE,2022,13,0,synthetique
SI,TECHNICIEN SPECIALISE,Base de données,EST,2008,10,0,synthetique
SI,LICENCE,Informatique,ENSA,2018,7,0,synthetique
SI,LICENCE,Informatique,ESISA,2010,10,0,synthetique
CGM,LICENCE,Marketing,EKTEC,2006,12,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,ISTA,2008,1,0,synthetique
ARCHIVISTE,LICENCE,Secrétariat,EKTEC,2017,3,0,synthetique
ARCHIVISTE,TECHNICIEN,Secrétariat,ENCG,2019,0,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,USMBA,2020,12,1,synthetique
CGM,DOCTORAT,Gestion Financière et comptable,USM,2017,14,0,synthetique
CGM,DOCTORAT,Management financier,ISTA,2024,7,1,synthetique
CGM,MASTER,Gestion des entreprises,ESISA,2008,13,0,synthetique
SI,MASTER,Informatique,ENCG,2013,5,1,synthetique
SI,TECHNICIEN SPECIALISE,Développement web,USMBA,2009,9,0,synthetique
SI,MASTER,Développement web,FSJES,2019,4,1,synthetique
SI,MASTER,Base de données,EST,2020,6,1,synthetique
CGM,LICENCE,Gestion Financière et comptable,ENSA,2005,13,0,synthetique
CGM,LICENCE,Management financier,ENSA,2014,14,0,synthetique
CGM,MASTER,Gestion des entreprises,ENCG,2023,5,1,synthetique
SI,LICENCE,Intelligence artificielle,FSJES,2013,14,0,synthetique
SI,LICENCE,Développement web,UMR,2022,1,0,synthetique
SI,LICENCE,Informatique,FSJES,2020,14,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ISTA,2017,4,1,synthetique
ARCHIVISTE,LICENCE,Documentation,EKTEC,2011,4,1,synthetique
SI,MASTER,Cybersécurité,EST,2015,9,1,synthetique
CGM,LICENCE,Marketing,MIAGE,2020,8,0,synthetique
CGM,MASTER,Management financier,MIAGE,2017,14,0,synthetique
SI,MASTER,Base de données,EST,2012,1,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,UMR,2019,11,0,synthetique
CGM,MASTER,Audit,EKTEC,2019,3,1,synthetique
ARCHIVISTE,LICENCE,Bibliothéconomie,ENCG,2008,10,0,synthetique
SI,LICENCE,Réseaux et télécommunications,ESISA,2015,1,0,synthetique
SI,TECHNICIEN SPECIALISE,Cybersécurité,ENCG,2020,8,1,synthetique
CGM,LICENCE,Audit,EST,2024,0,0,synthetique
CGM,MASTER,Gestion Financière et comptable,USM,2007,4,1,synthetique
ARCHIVISTE,LICENCE,Réseaux Informatique,ISTA,2014,11,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,ENSA,2012,12,0,synthetique
SI,TECHNICIEN SPECIALISE,Base de données,USM,2016,10,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ENSA,2010,8,1,synthetique
SI,LICENCE,Réseaux et télécommunications,FSJES,2005,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,MIAGE,2014,6,0,synthetique
CGM,LICENCE,Gestion des entreprises,ISGA,2024,9,0,synthetique
CGM,MASTER,Audit,USM,2007,14,1,synthetique
CGM,LICENCE,Marketing,EST,2018,10,0,synthetique
SI,DOCTORAT,Base de données,ENCG,2012,10,1,synthetique
CGM,MASTER,Marketing,MIAGE,2016,10,1,synthetique
CGM,DOCTORAT,Management financier,EST,2023,5,1,synthetique
SI,MASTER,Génie logiciel,FEDE,2007,5,1,synthetique
SI,TECHNICIEN SPECIALISE,Réseaux et télécommunications,ENCG,2007,4,0,synthetique
CGM,MASTER,Comptabilité,ISGA,2023,10,0,synthetique
CGM,MASTER,Marketing,EST,2006,6,1,synthetique
CGM,MASTER,Audit,ISGA,2008,5,1,synthetique
CGM,DOCTORAT,Audit,FEDE,2022,7,1,synthetique
SI,TECHNICIEN SPECIALISE,Génie logiciel,ISTA,2013,10,1,synthetique
ARCHIVISTE,TECHNICIEN,Développement informatique,FSJES,2008,0,0,synthetique
SI,MASTER,Base de données,ISTA,2019,0,0,synthetique
ARCHIVISTE,LICENCE,Documentation,USMBA,2019,11,1,synthetique
ARCHIVISTE,TECHNICIEN,Secrétariat,ISTA,2017,12,0,synthetique
ARCHIVISTE,MASTER,Comptabilité,UMR,2016,7,0,synthetique
SI,MASTER,Intelligence artificielle,ENCG,2021,3,1,synthetique
CGM,LICENCE,Management financier,UMR,2013,2,0,synthetique
SI,MASTER,Système d'information,FEDE,2012,14,1,synthetique
SI,MASTER,Informatique,MIAGE,2023,13,1,synthetique
SI,LICENCE,Développement web,USMBA,2006,10,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,ISTA,2009,13,1,synthetique
CGM,MASTER,Marketing,USMBA,2015,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,EST,2017,3,1,synthetique
CGM,LICENCE,Gestion Financière et comptable,EST,2006,14,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,EKTEC,2018,7,0,synthetique
SI,MASTER,Génie logiciel,ISTA,2021,0,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ISTA,2017,8,1,synthetique
ARCHIVISTE,TECHNICIEN,Bibliothéconomie,FEDE,2014,14,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ISTA,2013,14,1,synthetique
ARCHIVISTE,LICENCE,Documentation,ENCG,2020,1,0,synthetique
SI,LICENCE,Base de données,USM,2017,0,0,synthetique
CGM,MASTER,Finances contrôle et audit,ISTA,2018,14,0,synthetique
CGM,MASTER,Gestion des entreprises,FSJES,2007,11,0,synthetique
SI,MASTER,Système d'information,USM,2010,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,ESISA,2016,0,0,synthetique
SI,TECHNICIEN SPECIALISE,Développement web,EST,2024,8,0,synthetique
SI,MASTER,Cybersécurité,FSJES,2014,1,1,synthetique
CGM,LICENCE,Droit des affaires,ENSA,2005,14,0,synthetique
ARCHIVISTE,MASTER,Documentation,ENSA,2012,10,1,synthetique
ARCHIVISTE,LICENCE,Documentation,ENCG,2020,6,0,synthetique
CGM,DOCTORAT,Gestion Financière et comptable,EST,2022,12,0,synthetique
SI,MASTER,Cybersécurité,ENCG,2021,7,1,synthetique
ARCHIVISTE,LICENCE,Réseaux Informatique,ENCG,2024,13,1,synthetique
CGM,DOCTORAT,Gestion des entreprises,USMBA,2007,10,0,synthetique
SI,MASTER,Cybersécurité,ENCG,2012,7,1,synthetique
SI,MASTER,Informatique,FSJES,2014,13,1,synthetique
SI,LICENCE,Intelligence artificielle,ISTA,2012,6,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,ENCG,2023,5,0,synthetique
SI,MASTER,Informatique,EST,2006,14,1,synthetique
SI,LICENCE,Réseaux et télécommunications,FSJES,2023,7,0,synthetique
SI,LICENCE,Génie logiciel,UMR,2021,10,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Comptabilité,UMR,2013,3,0,synthetique
SI,TECHNICIEN SPECIALISE,Système d'information,EST,2012,0,0,synthetique
SI,DOCTORAT,Intelligence artificielle,EST,2008,5,1,synthetique
SI,DOCTORAT,Informatique,USM,2007,9,1,synthetique
